"","latitud","longitud","taxon.name"
"530",41.3555966667,2.15362,"Kalanchoe × houghtonii"
"532",41.3556116667,2.1536366667,"Kalanchoe × houghtonii"
"544",41.3568683333,2.1541516667,"Kalanchoe × houghtonii"
"547",41.378225,2.1531416667,"Kalanchoe × houghtonii"
"617",41.37924,2.15433,"Kalanchoe × houghtonii"
"658",41.3575766667,2.1565016667,"Kalanchoe × houghtonii"
"663",41.35723,2.1571433333,"Kalanchoe × houghtonii"
"668",41.3565516667,2.1575516667,"Kalanchoe × houghtonii"
"715",41.388585,2.1598466667,"Kalanchoe × houghtonii"
"724",41.38972,2.161315,"Kalanchoe × houghtonii"
"725",41.390415,2.1613383333,"Kalanchoe × houghtonii"
"726",41.38945,2.161425,"Kalanchoe × houghtonii"
"730",41.3901953,2.1622734,"Kalanchoe × houghtonii"
